smiles,half-life
C1CC12CN(C[C@@H]2N)C3=C(C=C4C(=C3Cl)N(C=C(C4=O)C(=O)O)C5C[C@@H]5F)F,30
CCCN1CC2=C(NC1)N(C(=S)NC2=O)CC3=CC(=C(C=C3)OC)OC,30
C1CN(CCN1)C2=CC(=O)N3C(=N2)SC(=N3)C4=CC(=CC=C4)NC(=O)CN,30
CC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)NCC(=O)NC4=CC=CC(=C4)C(=O)O,30
CN(C)C(=O)C1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,30
C1CN(CCC1C(=O)N2CCOCC2)C3=NC(=CS3)C4=CC=C(C=C4)Br,30
C1CN(CCC1C(=O)N2CCNCC2)C3=NC(=CS3)C4=CC=C(C=C4)Br,30
C1CN(CCC1C(=O)N)C2=NC=C(S2)Br,30
C1CN(CCC1C(=O)N)C2=NC=C(C=N2)Br,30
C1CN(CCC1C(=O)N)C2=NC=CC(=N2)Cl,30
C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=C(C=C3)N,30
COC1=C(C=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N)OC,30
COC1=CC(=CC(=C1OC)OC)C2=CSC(=N2)N3CCC(CC3)C(=O)N,30
CC(C)OC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,30
CC(C)(C)OC(=O)NC1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,30
CC(=O)N1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,30
C1CN(CCC1N)C2=NC(=CS2)C3=CC=C(C=C3)Br,30
C1CN(CCC1C2=NNN=N2)C3=NC(=CS3)C4=CC=C(C=C4)Br,30
CC(=O)NC1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,30
C1CN(CCN1C2=NC(=CS2)C3=CC=C(C=C3)Br)C(=O)C4=CC=CO4,30
