PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,"Phenotype (Unstable (<30 min), Stable (>30 min))",Half-life (minutes),Compound QC
144116983,60167861,Active,stable,>30,QC'd by NCATS
384568713,71668132,Active,stable,>30,QC'd by NCATS
174006610,10475633,Active,stable,>30,QC'd by NCATS
377690983,1157499,Active,stable,>30,QC'd by NCATS
377675368,1101604,Active,stable,>30,QC'd by NCATS
377703151,723570,Active,stable,>30,QC'd by NCATS
377712510,42654850,Active,stable,>30,QC'd by NCATS
377712511,16764667,Active,stable,>30,QC'd by NCATS
377712741,1977357,Active,stable,>30,QC'd by NCATS
377677924,844557,Active,stable,>30,QC'd by NCATS
377678050,9451481,Active,stable,>30,QC'd by NCATS
377646531,17464141,Active,stable,>30,QC'd by NCATS
377682336,135656053,Active,stable,>30,QC'd by NCATS
377658558,999758,Active,stable,>30,QC'd by NCATS
377712128,16955992,Active,stable,>30,QC'd by NCATS
377699112,4774787,Active,stable,>30,QC'd by NCATS
377698117,31060889,Active,stable,>30,QC'd by NCATS
377714310,3614652,Active,stable,>30,QC'd by NCATS
161004072,70789494,Active,stable,>30,QC'd by NCATS
160844062,70701409,Active,stable,>30,QC'd by NCATS
160844063,70701411,Active,stable,>30,QC'd by NCATS
161004073,70789442,Active,stable,>30,QC'd by NCATS
161004074,70789474,Active,stable,>30,QC'd by NCATS
161004075,70789486,Active,stable,>30,QC'd by NCATS
161004076,70789417,Active,stable,>30,QC'd by NCATS
160844064,70701435,Active,stable,>30,QC'd by NCATS
160844065,70701378,Active,stable,>30,QC'd by NCATS
160844066,70701414,Active,stable,>30,QC'd by NCATS
160844067,70701382,Active,stable,>30,QC'd by NCATS
160844072,70701445,Active,stable,>30,QC'd by NCATS
160844078,70701365,Active,stable,>30,QC'd by NCATS
161004086,70789475,Active,stable,>30,QC'd by NCATS
162010100,71296011,Active,stable,>30,QC'd by NCATS
172113108,2331198,Active,stable,>30,QC'd by NCATS
172113110,1478221,Active,stable,>30,QC'd by NCATS
160844087,70701397,Active,stable,>30,QC'd by NCATS
161004443,70789681,Active,stable,>30,QC'd by NCATS
172113120,72710613,Active,stable,>30,QC'd by NCATS
172113121,72710618,Active,stable,>30,QC'd by NCATS
172113122,17982593,Active,stable,>30,QC'd by NCATS
172113123,72710611,Active,stable,>30,QC'd by NCATS
161004091,334157,Active,stable,>30,QC'd by NCATS
161004092,70789356,Active,stable,>30,QC'd by NCATS
161004093,70789375,Active,stable,>30,QC'd by NCATS
161004095,70789470,Active,stable,>30,QC'd by NCATS
161004096,1098727,Active,stable,>30,QC'd by NCATS
161004098,70789537,Active,stable,>30,QC'd by NCATS
161004099,70789399,Active,stable,>30,QC'd by NCATS
161004106,70789478,Active,stable,>30,QC'd by NCATS
160844094,70701364,Active,stable,>30,QC'd by NCATS
160844095,70701408,Active,stable,>30,QC'd by NCATS
160844096,70701402,Active,stable,>30,QC'd by NCATS
160844097,70701431,Active,stable,>30,QC'd by NCATS
161004108,1292054,Active,stable,>30,QC'd by NCATS
161004109,2147590,Active,stable,>30,QC'd by NCATS
161004110,1548400,Active,stable,>30,QC'd by NCATS
161004111,1115153,Active,stable,>30,QC'd by NCATS
161004112,70789400,Active,stable,>30,QC'd by NCATS
161004113,70789441,Active,stable,>30,QC'd by NCATS
161004114,1106557,Active,stable,>30,QC'd by NCATS
161004115,1582687,Active,stable,>30,QC'd by NCATS
161004116,70789430,Active,stable,>30,QC'd by NCATS
161004117,70789466,Active,stable,>30,QC'd by NCATS
161004125,70789419,Active,stable,>30,QC'd by NCATS
160844099,70701410,Active,stable,>30,QC'd by NCATS
160844101,70701420,Active,stable,>30,QC'd by NCATS
174006346,52912189,Active,stable,>30,QC'd by NCATS
174006365,57339144,Active,stable,>30,QC'd by NCATS
170466906,72187536,Active,stable,>30,QC'd by NCATS
170466909,1450448,Active,stable,>30,QC'd by NCATS
164755742,71771109,Active,stable,>30,QC'd by NCATS
164755750,71771097,Active,stable,>30,QC'd by NCATS
363677342,24944925,Active,stable,>30,QC'd by NCATS
170466910,24243268,Active,stable,>30,QC'd by NCATS
161004126,70789411,Active,stable,>30,QC'd by NCATS
170466911,72187561,Active,stable,>30,QC'd by NCATS
161004127,70789446,Active,stable,>30,QC'd by NCATS
161004128,70789370,Active,stable,>30,QC'd by NCATS
170363365,72183104,Active,stable,>30,QC'd by NCATS
170363366,72183102,Active,stable,>30,QC'd by NCATS
170363367,1298953,Active,stable,>30,QC'd by NCATS
170363369,72183107,Active,stable,>30,QC'd by NCATS
161004131,70789460,Active,stable,>30,QC'd by NCATS
161004132,70789524,Active,stable,>30,QC'd by NCATS
161004142,70789510,Active,stable,>30,QC'd by NCATS
161004145,70789412,Active,stable,>30,QC'd by NCATS
161004147,2132664,Active,stable,>30,QC'd by NCATS
160844109,70701434,Active,stable,>30,QC'd by NCATS
160844112,70701432,Active,stable,>30,QC'd by NCATS
170363372,72183101,Active,stable,>30,QC'd by NCATS
170466915,72187537,Active,stable,>30,QC'd by NCATS
174316137,25109986,Active,stable,>30,QC'd by NCATS
174007010,11248978,Active,stable,>30,QC'd by NCATS
161004446,70789667,Active,stable,>30,QC'd by NCATS
161004448,70789658,Active,stable,>30,QC'd by NCATS
161004449,70789679,Active,stable,>30,QC'd by NCATS
161004450,70789651,Active,stable,>30,QC'd by NCATS
161004157,70789359,Active,stable,>30,QC'd by NCATS
161004451,70789664,Active,stable,>30,QC'd by NCATS
161004452,70789672,Active,stable,>30,QC'd by NCATS
161004454,70789674,Active,stable,>30,QC'd by NCATS
161004455,70789652,Active,stable,>30,QC'd by NCATS
161004457,70789675,Active,stable,>30,QC'd by NCATS
161004463,70789700,Active,stable,>30,QC'd by NCATS
161004464,70789693,Active,stable,>30,QC'd by NCATS
161004166,70789481,Active,stable,>30,QC'd by NCATS
161004168,70789345,Active,stable,>30,QC'd by NCATS
161004171,70789522,Active,stable,>30,QC'd by NCATS
161004467,70789644,Active,stable,>30,QC'd by NCATS
161004474,70789690,Active,stable,>30,QC'd by NCATS
161004475,70789695,Active,stable,>30,QC'd by NCATS
161004476,70789663,Active,stable,>30,QC'd by NCATS
161004484,70789682,Active,stable,>30,QC'd by NCATS
161004485,70789655,Active,stable,>30,QC'd by NCATS
161004487,70789694,Active,stable,>30,QC'd by NCATS
161004492,70789666,Active,stable,>30,QC'd by NCATS
161004494,70789698,Active,stable,>30,QC'd by NCATS
161004496,70789653,Active,stable,>30,QC'd by NCATS
170466919,72187559,Active,stable,>30,QC'd by NCATS
164755764,26951683,Active,stable,>30,QC'd by NCATS
164755766,46663817,Active,stable,>30,QC'd by NCATS
164755768,71771102,Active,stable,>30,QC'd by NCATS
164755769,71771081,Active,stable,>30,QC'd by NCATS
164755773,71771087,Active,stable,>30,QC'd by NCATS
