mol_idx,smiles,half-life,published
173,CN1CCN(C(=O)c2cc(-c3cccnc3)nc3c2cnn3C)CC1,0.9999999999999999,2018
174,CN1CCN(C(=O)c2ccc3nccn3c2)CC1,0.9999999999999999,2016
175,Cc1nn2c(c1-c1ccccc1Oc1ccccc1)N(Cc1ccc(C(=O)O)cc1)CCC2,0.9999999999999999,2018
176,CC(C)CN1C(=O)c2cccn2CC1C(=O)N1CCN(C)CC1,0.8870106761565835,2015
177,O=c1c2nc(Nc3cccc(F)c3)ccc2ncn1-c1ccccc1,0.7677935943060498,2020
178,Fc1cccc(Nc2ncc(-c3cncnc3)c3c2OCC3)c1,0.9999999999999999,2020
179,CN1CCOC2(CCN(Cc3cccc(C#N)c3)CC2)C1=O,0.9999999999999999,2020
180,N#Cc1ccnc(-c2nnc3ccc(NCc4cnccn4)nn23)c1,0.9999999999999999,2020
181,COc1ccccc1-c1[nH]nc2ncc(-c3cccc(F)c3)nc12,0.9999999999999999,2020
182,c1ccc(Nc2ncc(-c3cccnc3)c3c2OCC3)cc1,0.9999999999999999,2020
183,O=c1c2nc(Nc3ccccc3)ccc2ncn1-c1cccnc1,0.9999999999999999,2020
184,O=C1COCCN1c1cc(-c2ccccc2)cn2cncc12,0.9999999999999999,2020
185,c1ccc(Nc2ncc(-c3cncnc3)c3c2OCC3)cc1,0.9999999999999999,2020
186,COc1cccc(CN2CCC3(CC2)OCCN(C)C3=O)c1,0.9999999999999999,2020
187,COc1ccnc(-c2nnc3ccc(NCc4cnccn4)nn23)c1,0.9999999999999999,2020
188,COc1ccccc1-c1[nH]nc2ncc(-c3ccccc3)nc12,0.550711743772242,2020
189,CC1(c2ccccc2)N(Cc2ccccc2)C(=O)OC12CCN(Cc1ccc(C(=O)O)cc1)CC2,0.9999999999999999,2020
