index,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
136,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)nccc12,120.0,8.9368,0.0,5.9069,-14.0223,-75.8203,-77.5264
123,Cc1noc(C)c1-c1cc(-c2ccccc2)cn2cncc12,120.0,7.5974,0.0,3.0356,-17.7863,-48.5582,-55.2465
175,Cc1nn2c(c1-c1ccccc1Oc1ccccc1)N(Cc1ccc(C(=O)O)cc1)CCC2,120.0,11.9122,0.9469,6.655,-20.7827,-90.1227,-99.9523
11,N#Cc1ccc(CN2CCC3(COc4ccccc4C(=O)N3)C2)cc1,38.4,9.3267,0.8582,5.4487,-15.9378,-77.7365,-93.6743
125,COc1ccc(CN2CCC(N3CCNC3=O)CC2)cc1,120.0,8.9903,0.7085,5.6956,-2.2976,-79.1641,-73.4573
139,COc1ccc(C(=O)N2CCOC[C@H](Oc3cnccn3)C2)cc1,120.0,11.3226,0.0,7.9158,-7.143,-101.1512,-80.607
137,COc1cccc(-c2c(C(=O)N3CCOCC3)nc3sccn23)c1,120.0,9.4381,0.0,6.5932,-12.6939,-85.3077,-75.2653
1,Cc1cc2cc(-c3c(C)noc3C)nc(Nc3cccc(F)c3)c2o1,8.2,8.2438,0.7948,6.1125,-16.3201,-77.3268,-86.4776
170,CN1CCN(C(=O)Cc2cccn2-c2ccc(F)cc2)CC1,120.0,9.193,0.0,5.7363,-5.4604,-73.7812,-68.7562
144,COCCNC(=O)c1nc2sccn2c1-c1cccc(OC)c1,120.0,8.3302,0.6973,6.3385,-9.2875,-82.7169,-84.236
71,N#Cc1ccc(CN2CCC(N3Cc4cccn4C3=O)CC2)cc1,120.0,9.7401,0.0,4.5827,-14.4994,-71.4321,-66.8491
102,O=C(O)c1ccc(CN2CC(COc3ccccc3)C3(C2)CN(c2ccccc2)C3)cc1,120.0,12.2101,0.8456,6.3256,-14.7467,-84.5502,-99.2969
65,O=C(c1ccncc1)N1CCC(Oc2cccc(F)c2)C1,120.0,9.1022,0.0,6.2339,-9.1809,-75.4544,-74.1997
45,Cn1cnc2ccc(Nc3cccc(F)c3)nc2c1=O,115.2,6.9112,0.6645,5.637,-13.0622,-76.2335,-72.3597
114,COc1ccc(CN2CC(Oc3ccc(F)c(F)c3)C2)cc1,30.0,8.8371,0.0,6.6059,-5.713,-71.681,-71.2497
29,CC(=O)N1CCC(Cc2ccc(C(=O)NC3CC3)cc2)CC1,80.1,9.3428,0.5932,5.1338,-2.5139,-69.1206,-63.2435
41,CCOc1cc(=O)n2c(c1C(=O)Nc1ccc(C#N)cc1)CCCC2,101.4,9.7195,0.6424,6.4187,-13.2672,-86.2004,-92.9441
146,COc1ccc(CN2CCC(N3CCOC3=O)CC2)cc1,120.0,9.6876,0.0,6.0804,-2.3838,-77.9401,-54.964
147,c1ccc(-c2cnc(Nc3cccnc3)c3c2CCO3)cc1,120.0,7.417,0.7835,3.7302,-17.5421,-58.6629,-72.5473
26,O=C(NC1CC1)c1ccc(-c2ccc(N3CCCCCC3)nc2)cc1,76.2,9.2933,0.5549,4.1827,-8.9183,-64.6583,-67.3629
24,N#Cc1ccc(CN2CC(Oc3ccc(F)c(F)c3)C2)cc1,71.4,8.3707,0.0,5.6894,-11.4057,-67.4192,-73.1138
142,COCCOC1CCN(C(=O)Nc2ccccc2)CC1,120.0,9.5113,0.5732,6.6887,2.4041,-84.4891,-68.3166
82,CCN1CCN(C(=O)Cc2cccn2-c2ccc(F)cc2)CC1,120.0,9.4397,0.0,5.7293,-4.3531,-73.8845,-67.5648
80,N#Cc1ccc(C(=O)N2CCCOCCNC(=O)CC2)cc1,120.0,10.8867,0.7727,7.425,-5.2958,-98.1398,-95.6343
85,CCN1CCN(C(=O)c2cc(-c3cccnc3)nc3c2cnn3C)CC1,120.0,10.6026,0.0,5.841,-10.7463,-91.8912,-82.8315
40,N#Cc1ccc(CN2CC(N3CCc4ccccc43)C2)cc1,96.8,8.2527,0.0,2.4536,-15.2309,-46.0608,-58.0464
119,COc1cncc(Nc2ncc(-c3ccccc3)c3c2OCC3)c1,120.0,8.4949,0.7794,5.163,-16.8536,-73.625,-83.2725
87,CC1(c2ccccc2)N(Cc2ccccc2)C(=O)OC12CCN(Cc1cccc(C#N)c1)CC2,120.0,13.4061,0.0,5.2382,-18.2689,-77.8042,-72.8238
78,O=C(O)c1ccc(-c2ncc3cnc(-c4cccc(F)c4)cn23)cc1,120.0,7.7482,0.9319,6.2151,-19.9729,-79.0141,-91.5674
184,O=C1COCCN1c1cc(-c2ccccc2)cn2cncc12,120.0,8.2739,0.0,4.9075,-15.0644,-68.0309,-61.4728
159,COc1ccc(CN2CCC(N3Cc4cccn4C3=O)CC2)cc1,120.0,9.8438,0.0,5.3072,-8.8087,-73.9085,-63.487
48,N#Cc1cccc(-c2c(C(=O)N3CCOCC3)nc3sccn23)c1,120.0,9.0346,0.0,5.7559,-18.3874,-81.4229,-78.9053
95,COc1cccc(-c2c(C(=O)Nc3ccc(C)cc3)nc3sccn23)c1,93.0,8.0824,0.8189,5.0977,-18.3065,-70.7691,-79.0606
145,COc1ccc(CN2CC[C@@](C)(O)[C@H](N3CCCC3)C2)cc1,120.0,8.7028,0.5962,5.2638,4.3096,-69.4814,-62.0042
177,O=c1c2nc(Nc3cccc(F)c3)ccc2ncn1-c1ccccc1,93.9,7.9423,0.6347,5.6502,-19.8384,-77.7389,-81.3312
62,N#Cc1cncc(N2CC3CCC(C2)N3CC(F)(F)F)c1,120.0,8.5709,0.0,6.4902,-4.6539,-79.8296,-63.3388
74,Cc1noc(-c2cn(C3CCN(C(=O)c4cccc(F)c4)C3)nn2)n1,120.0,9.9987,0.0,7.2533,-13.5824,-96.9044,-78.5256
34,Cc1noc(C)c1-c1cc(-c2cccc(F)c2)cn2cncc12,90.0,8.0912,0.0,4.6101,-17.0407,-60.5624,-67.2342
44,COCCNc1ncnc2c1CCN(C(=O)c1cscn1)CC2,110.7,10.5757,0.5708,7.2613,-5.2371,-104.6125,-89.4175
143,COC(=O)[C@@H]1Cc2ncn(C)c2CN1C(=O)c1ccc(OC)cc1,120.0,11.0047,0.0,7.734,-8.739,-98.8055,-78.5153
149,COc1ccc(CN2CCC3(CC2)CC(=O)c2ccccc2O3)cc1,120.0,10.0381,0.0,5.481,-8.9234,-68.1392,-77.0626
63,CCOCCOC1CCN(C(=O)Nc2cccc(F)c2)CC1,120.0,10.3663,0.6412,8.341,4.2583,-97.4555,-79.9931
187,COc1ccnc(-c2nnc3ccc(NCc4cnccn4)nn23)c1,120.0,8.9113,0.7184,6.1143,-18.4466,-98.2541,-99.1067
141,O=C(c1ccccc1)N1CCC(Oc2cccnc2)C1,120.0,8.6545,0.0,4.7035,-9.925,-63.7747,-58.843
4,O=C(c1ccc(-c2ncc3cnc(-c4cccc(F)c4)cn23)cc1)N1CCc2cccnc21,17.3,11.4931,0.0,6.5722,-28.1039,-92.5194,-102.4565
106,COc1cccc(CN2CCOC[C@H](O)C2)c1,28.2,7.8289,0.6165,5.9905,3.0886,-72.0406,-64.5618
54,COCCOC1CCN(C(=O)Nc2cccc(F)c2)CC1,120.0,9.9723,0.6058,8.1573,3.1471,-95.5122,-79.2969
171,CN1CCN(C(=O)c2cc(-c3ccc(F)cc3)nc3c2cnn3C)CC1,120.0,10.4892,0.0,6.7706,-11.0569,-92.5876,-84.194
148,COc1ccc(CN2CCC3(C2)NC(=O)c2ccccc2O3)cc1,120.0,9.2666,0.7605,6.0726,-11.35,-78.9069,-86.8206
176,CC(C)CN1C(=O)c2cccn2CC1C(=O)N1CCN(C)CC1,107.3,9.7134,0.0,6.1046,-0.279,-85.5553,-58.2035
50,O=C1COCCN1c1cc(-c2cccc(F)c2)cn2cncc12,120.0,8.8156,0.0,6.4858,-14.3185,-80.1455,-73.6516
81,CN1c2cc(C(=O)Nc3ccc(C#N)cc3)ccc2C(=O)N2CCCCC21,120.0,10.3266,0.6487,6.3095,-18.0774,-90.4132,-97.0325
35,Cc1ccsc1-c1[nH]nc2ncc(-c3cccc(F)c3)nc12,93.0,5.7917,0.7739,4.0841,-17.5879,-57.9634,-68.0435
